#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_374	15	11	38	42	112	28	27	28	28	41	30	15	45	117	36	15	49	17
OTU_375	13	6	1	8	6	16	17	6	2	10	9	12	4	13	8	5	4	10
OTU_376	35	29	37	30	50	42	32	29	49	29	30	25	54	33	46	49	38	66
OTU_377	40	24	19	36	26	27	32	16	50	38	51	34	45	20	57	32	32	56
OTU_378	6	5	2	2	4	7	11	7	8	7	8	18	12	8	7	2	6	7
OTU_379	15	22	11	24	8	25	32	16	13	15	32	25	23	12	14	15	16	19
OTU_38	607	582	656	471	220	405	432	723	1877	1015	602	613	805	823	697	1635	637	664
OTU_380	2	0	0	0	0	0	5	1	0	2	2	3	0	0	1	0	1	2
OTU_381	13	11	10	11	8	9	13	2	6	6	19	17	8	6	9	19	8	12
OTU_382	9	5	13	5	4	10	8	6	4	5	3	6	4	4	3	7	5	10
OTU_383	13	40	64	110	142	29	71	40	34	71	46	31	61	135	73	68	60	39
OTU_384	46	50	38	89	71	58	44	40	75	45	71	60	37	56	53	50	49	46
OTU_385	10	2	7	10	5	4	23	9	22	12	23	17	29	14	18	14	7	17
OTU_386	18	13	20	21	17	13	15	15	17	12	26	21	15	15	15	10	18	7
OTU_388	1	0	1	0	1	0	0	0	0	0	0	1	0	1	4	1	1	2
OTU_389	190	170	65	102	81	140	643	266	342	376	193	716	96	39	105	71	65	105
OTU_390	18	27	31	36	31	33	38	20	21	23	36	22	17	33	35	33	34	29
OTU_391	5	3	0	8	0	3	5	2	4	1	4	7	3	1	8	6	3	4
OTU_393	41	61	22	19	31	90	39	37	23	35	122	78	27	60	42	41	18	53
OTU_394	8	5	7	8	8	9	7	4	2	5	10	7	4	9	4	6	8	7
OTU_395	49	32	35	29	15	41	63	40	43	46	54	70	37	31	47	22	48	49
OTU_396	2	1	1	3	1	0	1	0	2	0	3	0	0	0	0	1	0	1
OTU_397	76	139	119	106	57	71	85	137	87	75	95	80	90	85	106	127	95	133
OTU_398	15	5	2	12	13	8	16	10	6	10	24	21	24	22	12	25	16	24
OTU_399	4	2	4	1	5	2	2	1	3	2	3	5	1	0	4	0	2	3
OTU_4	0	0	0	6	0	0	1	2	3	0	0	0	0	0	0	0	0	0
OTU_40	0	1	0	0	1	0	1	0	2	3	0	2	1	1	0	3	0	1
OTU_400	24	27	10	14	13	31	29	21	28	15	18	22	12	18	13	13	10	16
OTU_401	1	2	3	1	0	1	1	3	2	2	0	0	1	0	2	1	0	1
OTU_402	4	2	0	3	2	3	4	0	5	8	23	6	4	2	7	9	14	5
OTU_403	198	90	110	168	224	422	96	149	127	178	276	172	113	84	214	131	144	139
OTU_404	3	4	1	7	4	1	10	6	4	7	4	54	0	3	4	3	2	8
OTU_405	4	0	0	0	0	0	4	0	2	0	4	4	3	0	2	2	1	2
OTU_406	1	1	4	9	1	3	4	1	5	3	4	4	3	7	3	4	5	10
OTU_407	24	27	48	49	110	30	26	22	19	39	104	45	23	18	51	43	65	60
OTU_408	5	7	10	7	3	2	37	26	32	24	21	16	26	32	27	25	17	16
OTU_409	6	1	8	5	1	9	3	5	5	3	2	6	2	4	11	2	5	2
OTU_41	1	3	1	4	0	4	6	2	2	3	5	9	3	8	8	4	7	11
OTU_410	1	4	2	6	2	3	4	2	4	3	2	4	2	5	3	5	6	4
OTU_411	3	3	6	1	0	3	2	2	2	1	2	2	1	0	0	0	2	2
OTU_412	19	25	43	29	93	33	23	27	23	34	24	23	39	68	18	17	34	25
OTU_413	11	11	5	8	15	32	11	13	11	11	15	11	7	2	12	9	5	15
OTU_414	1	4	1	3	9	3	0	4	2	0	3	1	1	1	1	1	0	0
OTU_415	10	16	16	8	3	9	24	15	22	21	26	25	20	21	21	13	19	35
OTU_416	1	1	0	1	0	2	4	0	2	3	5	11	0	2	8	1	1	3
OTU_417	1	1	0	2	0	0	1	2	0	1	6	0	1	4	1	1	3	1
OTU_418	3	3	17	13	15	4	16	10	11	13	10	8	6	12	13	10	17	7
OTU_419	1	1	0	3	0	3	1	0	0	0	3	1	4	0	3	5	0	2
OTU_42	286	289	528	288	150	231	208	282	667	341	264	228	476	419	330	394	862	390
OTU_420	2	4	0	1	1	0	9	1	8	1	1	5	2	3	2	0	0	2
OTU_421	2	1	3	1	0	0	0	0	0	4	1	0	1	1	1	0	2	0
OTU_422	22	17	33	8	14	31	41	10	20	12	11	9	13	10	11	39	9	18
OTU_425	5	3	5	14	5	3	3	6	4	2	2	4	3	8	7	7	4	5
OTU_426	3	1	2	4	2	5	5	3	3	2	4	5	4	3	0	4	0	2
OTU_427	11	3	4	10	3	26	7	8	3	4	20	11	4	3	7	6	3	7
OTU_429	3	1	2	0	3	1	2	1	3	2	5	3	2	3	4	7	8	5
OTU_43	0	0	0	1	1	1	3	1	0	1	1	0	0	1	1	2	0	1
OTU_430	2	2	4	5	14	1	1	0	2	2	1	2	6	15	2	1	3	5
OTU_431	5	5	14	11	11	5	9	5	4	8	6	4	9	13	8	11	11	7
OTU_432	2	0	2	0	1	1	3	1	4	2	2	6	2	0	3	2	3	0
OTU_433	4	1	3	2	2	1	3	2	3	1	1	1	0	2	2	1	1	2
OTU_434	8	8	14	5	13	13	12	9	6	6	12	5	13	6	9	4	5	7
OTU_435	15	7	5	14	3	7	10	9	15	5	9	11	3	2	6	6	12	7
OTU_436	54	40	20	36	28	40	47	27	50	38	34	48	27	21	46	25	36	22
OTU_437	4	13	35	16	24	11	5	9	5	14	8	2	9	11	4	7	8	10
OTU_438	16	28	9	26	4	4	8	43	27	10	18	26	6	2	16	16	9	21
OTU_44	1	0	2	1	1	0	5	0	2	5	2	3	1	1	1	2	2	7
OTU_440	4	0	1	2	1	1	3	3	2	2	1	2	0	1	2	3	5	0
